node_id,Airport ID,Name,City,Country,IATA/FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,alpha-2_x,alpha-3,name,alpha-2_y,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
1203,2722,Juan Casiano,Guapi,Colombia,GPI,SKGP,2.570133,-77.8986,164,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1204,2724,Perales,Ibague,Colombia,IBE,SKIB,4.421608,-75.1333,2999,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1205,2725,San Luis,Ipiales,Colombia,IPI,SKIP,0.861925,-77.671764,9765,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1206,2728,Alfredo Vasquez Cobo,Leticia,Colombia,LET,SKLT,-4.193549,-69.943163,277,-4.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1207,2729,Olaya Herrera,Medellin,Colombia,EOH,SKMD,6.219958,-75.590519,4940,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1208,2731,Los Garzones,Monteria,Colombia,MTR,SKMR,8.823744,-75.825831,36,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1209,2732,Fabio Alberto Leon Bentley,Mitu,Colombia,MVP,SKMU,1.253664,-70.233878,680,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1210,2733,La Nubia,Manizales,Colombia,MZL,SKMZ,5.029597,-75.464708,6871,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1211,2734,Benito Salas,Neiva,Colombia,NVA,SKNV,2.95015,-75.294,1464,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1212,2738,Puerto Carreno,Puerto Carreno,Colombia,PCR,SKPC,6.184717,-67.493164,177,-4.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1213,2739,Matecana,Pereira,Colombia,PEI,SKPE,4.812675,-75.739519,4416,-5.0,U,CO,COL,Colombia,CO,170.0,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
